index,opening,eco,date,event,player_name,opponent_name,color,result,moves,rating,rating_difference,distance,distance_difference,effort,effort_difference
16,"Russian Game: Classical Attack, Staunton Variation",C42,2024.04.09,FIDE Candidates 2024,Praggnanandhaa R,"Nepomniachtchi, Ian",1,0,44,2747,-11,83.0,4.0,1.89,0.09
16,"Russian Game: Classical Attack, Staunton Variation",C42,2024.04.09,FIDE Candidates 2024,"Nepomniachtchi, Ian",Praggnanandhaa R,0,0,44,2758,11,79.0,-4.0,1.8,-0.09
17,"Italian Game: Classical Variation, Giuoco Pianissimo",C54,2024.04.09,FIDE Candidates 2024,"Firouzja, Alireza","Nakamura, Hikaru",1,-1,63,2760,-29,106.0,11.0,1.68,0.18
17,"Italian Game: Classical Variation, Giuoco Pianissimo",C54,2024.04.09,FIDE Candidates 2024,"Nakamura, Hikaru","Firouzja, Alireza",0,1,63,2789,29,95.0,-11.0,1.51,-0.18
18,"Russian Game: Modern Attack, Center Variation",C43,2024.04.09,FIDE Candidates 2024,Gukesh D,"Abasov, Nijat",1,1,87,2743,111,126.0,-24.0,1.45,-0.3
18,"Russian Game: Modern Attack, Center Variation",C43,2024.04.09,FIDE Candidates 2024,"Abasov, Nijat",Gukesh D,0,-1,87,2632,-111,150.0,24.0,1.74,0.3
19,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,2024.04.09,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Caruana, Fabiano",1,0,30,2727,-76,60.0,12.0,2.0,0.4
19,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,2024.04.09,FIDE Candidates 2024,"Caruana, Fabiano","Vidit, Santosh Gujrathi",0,0,30,2803,76,48.0,-12.0,1.6,-0.4
20,Four Knights Game: Scotch Variation Accepted,C47,2024.04.10,FIDE Candidates 2024,"Nepomniachtchi, Ian","Caruana, Fabiano",1,0,41,2758,-45,91.5,18.5,2.23,0.41
20,Four Knights Game: Scotch Variation Accepted,C47,2024.04.10,FIDE Candidates 2024,"Caruana, Fabiano","Nepomniachtchi, Ian",0,0,41,2803,45,73.0,-18.5,1.83,-0.41
21,Sicilian Defense: Hyperaccelerated Dragon,B27,2024.04.10,FIDE Candidates 2024,Gukesh D,"Nakamura, Hikaru",1,0,40,2743,-46,69.0,-0.0,1.72,-0.0
21,Sicilian Defense: Hyperaccelerated Dragon,B27,2024.04.10,FIDE Candidates 2024,"Nakamura, Hikaru",Gukesh D,0,0,40,2789,46,69.0,0.0,1.72,0.0
22,"Sicilian Defense: Classical Variation, Anti-Sozin Variation",B57,2024.04.10,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Firouzja, Alireza",1,1,40,2727,-33,80.0,10.5,2.0,0.22
22,"Sicilian Defense: Classical Variation, Anti-Sozin Variation",B57,2024.04.10,FIDE Candidates 2024,"Firouzja, Alireza","Vidit, Santosh Gujrathi",0,-1,40,2760,33,69.5,-10.5,1.78,-0.22
23,Tarrasch Defense: Symmetrical Variation,D32,2024.04.10,FIDE Candidates 2024,Praggnanandhaa R,"Abasov, Nijat",1,1,45,2747,115,76.5,3.0,1.7,0.03
23,Tarrasch Defense: Symmetrical Variation,D32,2024.04.10,FIDE Candidates 2024,"Abasov, Nijat",Praggnanandhaa R,0,-1,45,2632,-115,73.5,-3.0,1.67,-0.03
24,Indian Defense,A45,2024.04.11,FIDE Candidates 2024,"Firouzja, Alireza",Gukesh D,1,1,40,2760,17,62.0,-2.5,1.55,-0.1
24,Indian Defense,A45,2024.04.11,FIDE Candidates 2024,Gukesh D,"Firouzja, Alireza",0,-1,40,2743,-17,64.5,2.5,1.65,0.1
25,"Russian Game: Classical Attack, Staunton Variation",C42,2024.04.11,FIDE Candidates 2024,"Nakamura, Hikaru","Nepomniachtchi, Ian",1,0,40,2789,31,65.5,-3.5,1.64,-0.09
25,"Russian Game: Classical Attack, Staunton Variation",C42,2024.04.11,FIDE Candidates 2024,"Nepomniachtchi, Ian","Nakamura, Hikaru",0,0,40,2758,-31,69.0,3.5,1.72,0.09
26,"French Defense: Advance Variation, Main Line",C02,2024.04.11,FIDE Candidates 2024,"Caruana, Fabiano",Praggnanandhaa R,1,0,41,2803,56,59.5,-14.0,1.45,-0.34
26,"French Defense: Advance Variation, Main Line",C02,2024.04.11,FIDE Candidates 2024,Praggnanandhaa R,"Caruana, Fabiano",0,0,41,2747,-56,73.5,14.0,1.79,0.34
27,Ruy Lopez: Berlin Defense,C65,2024.04.11,FIDE Candidates 2024,"Abasov, Nijat","Vidit, Santosh Gujrathi",1,0,51,2632,-95,88.5,12.5,1.74,0.21
27,Ruy Lopez: Berlin Defense,C65,2024.04.11,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Abasov, Nijat",0,0,51,2727,95,76.0,-12.5,1.52,-0.21
28,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",B47,2024.04.13,FIDE Candidates 2024,Praggnanandhaa R,"Firouzja, Alireza",1,0,40,2747,-13,72.0,8.0,1.8,0.2
28,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",B47,2024.04.13,FIDE Candidates 2024,"Firouzja, Alireza",Praggnanandhaa R,0,0,40,2760,13,64.0,-8.0,1.6,-0.2
29,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,2024.04.13,FIDE Candidates 2024,"Vidit, Santosh Gujrathi",Gukesh D,1,-1,38,2727,-16,61.5,-20.0,1.62,-0.53
